date,RV_BTC,btc_close,btc_volume,btc_trade_count,hash_rate,difficulty,avg_conf_time,tx_per_block,avg_block_size,fear_greed,sp500_close,sp500_volume,vix_close,RV_lag1,RV_lag2,RV_lag3,RV_ma7,RV_ma30
2019-07-17,5.827713033642321,9439.59,97219.443413,796646.0,72994256.2884298,9064159826491.0,13.7131741272164,2242.82098765432,1.09887527777778,34.0,3004.0400390625,3297030000.0,12.859999656677246,7.43067590503789,5.516580120486648,4.679081534554226,5.730279983828098,5.6456980061402255
2019-07-18,10.519965649232729,9667.92,84942.672717,757742.0,59927383.249143,9064159826491.0,43.4039324564751,2442.7969924812,1.15372490977444,19.0,2984.419921875,3185650000.0,13.970000267028809,7.461419728980688,7.43067590503789,5.516580120486648,5.992262616751263,5.723315027876189
2019-07-19,4.558965251611931,10627.16,80283.310252,734821.0,54520401.3018519,9064159826491.0,55.5722361262786,2609.46280991736,1.26103424793388,40.0,2995.110107421875,3369820000.0,13.529999732971191,5.827713033642321,7.461419728980688,7.43067590503789,5.968672920656582,5.79067982083255
2019-07-20,3.252035486946397,10504.29,56546.932133,567735.0,53168655.8150291,9064159826491.0,120.624187405745,2541.44915254237,1.26290437288136,42.0,2976.610107421875,3285890000.0,14.449999809265137,10.519965649232729,5.827713033642321,7.461419728980688,6.525107530776947,6.046798001011922
2019-07-21,3.3506696362214963,10740.23,47331.899848,461660.0,79752983.7225436,9064159826491.0,179.729274369951,1824.87005649718,1.04757059322034,34.0,2976.610107421875,3285890000.0,14.449999809265137,4.558965251611931,10.519965649232729,5.827713033642321,6.570628746220919,6.13492551326004
2019-07-22,4.085464738896973,10589.45,38834.287935,395452.0,67136692.5121977,9064159826491.0,14.392218001175,1905.59731543624,0.887190201342282,42.0,2976.610107421875,3285890000.0,14.449999809265137,3.252035486946397,4.558965251611931,10.519965649232729,6.366765025134086,6.17447163282005
2019-07-23,3.069841988546288,10340.31,40467.954839,389565.0,71191928.9726661,9064159826491.0,21.4896473972591,2021.51265822785,1.00448546835443,42.0,2985.030029296875,3016200000.0,13.529999732971191,3.3506696362214963,3.252035486946397,4.558965251611931,6.057349241667636,6.167512534801785
2019-07-24,4.523132318831958,9864.91,47624.37071,448147.0,64212845.1846116,9033161130737.77,37.1977307513705,2240.22377622378,1.1037651048951,40.0,3005.469970703125,3333810000.0,12.609999656677246,4.085464738896973,3.3506696362214963,3.252035486946397,5.579461932218933,6.0609531513929085
2019-07-25,4.153849516874419,9763.28,43475.380377,424762.0,62282811.3455415,9013786945892.0,20.8095517264464,2126.53956834532,1.10729387769784,20.0,3019.56005859375,3433220000.0,12.069999694824219,3.069841988546288,4.085464738896973,3.3506696362214963,4.952093683585447,6.033263384400388
2019-07-26,2.0618057974082125,9879.87,37873.354728,368176.0,67211666.9196491,9013786945892.0,36.5219532695638,2243.57333333333,1.13333078666667,42.0,3003.669921875,3657050000.0,12.739999771118164,4.523132318831958,3.069841988546288,4.085464738896973,4.76572501004111,6.080151372195414
2019-07-27,6.333218720170093,9824.0,27167.463217,299935.0,74380911.3910783,9013786945892.0,13.6325961111061,1925.3734939759,0.957042542168674,24.0,3025.860107421875,3260170000.0,12.15999984741211,4.153849516874419,4.523132318831958,3.069841988546288,3.856279848275637,6.103749851778911
2019-07-28,1.7470792928152128,9476.52,43809.778301,401418.0,68107822.4785777,9013786945892.0,11.9364774478899,1867.71052631579,0.85809665131579,47.0,3025.860107421875,3260170000.0,12.15999984741211,2.0618057974082125,4.153849516874419,4.523132318831958,3.4995427833893915,5.741400412280786
2019-07-29,2.2674248642935555,9541.54,29401.022937,271327.0,78413611.4062573,9013786945892.0,8.25645254719534,1559.85142857143,0.70364656,16.0,3025.860107421875,3260170000.0,12.15999984741211,6.333218720170093,2.0618057974082125,4.153849516874419,3.939711816707063,5.579427641468106
2019-07-30,2.0552165000909617,9507.64,29021.937411,294468.0,75277066.950007,9013786945892.0,14.4852095928556,1985.82738095238,0.960283160714286,19.0,3020.969970703125,3224490000.0,12.829999923706055,1.7470792928152128,6.333218720170093,2.0618057974082125,3.7106274819347362,5.365446363257616
2019-07-31,2.876682145587689,9574.21,32536.368834,283961.0,63627044.6839344,9013786945892.0,47.06662815325,2312.5,1.168352,22.0,3013.179931640625,3632770000.0,13.9399995803833,2.2674248642935555,1.7470792928152128,6.333218720170093,3.4509074998485336,5.230166715550634
2019-08-01,2.2888611431894077,10080.53,39515.35456,364212.0,76621300.2883999,9013786945892.0,18.6628126279472,2113.08187134503,1.00736548538012,31.0,2980.3798828125,4626330000.0,16.1200008392334,2.0552165000909617,2.2674248642935555,1.7470792928152128,3.3059610014977734,5.074227997016348
2019-08-02,2.758145124252229,10374.99,41727.637028,378062.0,63627044.6839344,9013786945892.0,27.6101681587632,2365.79577464789,1.15085085915493,57.0,2953.56005859375,4793810000.0,17.8700008392334,2.876682145587689,2.0552165000909617,2.2674248642935555,3.0707538338914486,4.95326595587401
2019-08-03,2.417725967806002,10523.75,42990.444221,431322.0,75725144.7294713,9013786945892.0,15.9427039519774,2068.37869822485,1.0332159408284,61.0,2932.050048828125,3882810000.0,17.610000610351562,2.2888611431894077,2.876682145587689,2.0552165000909617,2.8043269233650188,4.735192342091556
2019-08-04,2.8186746146191153,10816.86,33802.318824,348893.0,77517455.8473286,9013786945892.0,8.92732166356241,1893.57225433526,0.847532514450867,61.0,2932.050048828125,3882810000.0,17.610000610351562,2.758145124252229,2.2888611431894077,2.876682145587689,2.9038039700570217,4.551544130259486
2019-08-05,4.297636259301123,10929.23,39924.745141,353721.0,74828989.1705426,9013786945892.0,9.20503477891746,1789.25149700599,0.825016580838323,62.0,2932.050048828125,3882810000.0,17.610000610351562,2.417725967806002,2.758145124252229,2.2888611431894077,2.3444478625764367,4.453241934960575
2019-08-06,5.998546527020629,11828.8,65153.673713,622610.0,70305379.0080994,9890230141833.76,29.4139018510657,2371.58041958042,1.17950344055944,64.0,2844.739990234375,4542850000.0,24.59000015258789,2.8186746146191153,2.417725967806002,2.758145124252229,2.497532908548423,4.370462952012705
2019-08-07,4.690504077170832,11481.69,76705.389875,625827.0,79916269.034042,9985348008060.0,37.5627131535352,2287.87577639752,1.14529517391304,66.0,2881.77001953125,4156640000.0,20.170000076293945,4.297636259301123,2.8186746146191153,2.417725967806002,2.787563107835218,4.336667766855069
2019-08-08,2.942317201069492,11975.03,69173.390353,592916.0,75945274.2994312,9985348008060.0,20.2724519089719,2424.24183006536,1.13438988235294,45.0,2883.97998046875,4512720000.0,19.489999771118164,5.998546527020629,4.297636259301123,2.8186746146191153,3.3508959688251707,4.43083028657637
2019-08-09,1.8817674296410922,11999.77,51207.257174,473584.0,70485156.5393414,9985348008060.0,98.6164955852286,2367.47183098592,1.23935686619718,61.0,2938.090087890625,4118530000.0,16.90999984741211,4.690504077170832,5.998546527020629,4.297636259301123,3.6100133876227622,4.450884609010232
2019-08-10,4.406123844306388,11879.99,39427.152588,410902.0,72967028.2484731,9985348008060.0,27.5970567668051,2320.57823129252,1.15657972789116,60.0,2918.64990234375,3356850000.0,17.969999313354492,2.942317201069492,4.690504077170832,5.998546527020629,3.703364253034203,4.361377139095263
2019-08-11,1.898095565581255,11309.31,42633.087048,399237.0,74952525.6157785,9985348008060.0,10.0749602522987,2014.15894039735,0.910549139072848,59.0,2918.64990234375,3356850000.0,17.969999313354492,1.8817674296410922,2.942317201069492,4.690504077170832,3.5781674395183267,4.224341356539798
2019-08-12,1.3449007532564083,11549.97,26772.90691,306234.0,75945274.2994312,9985348008060.0,8.23197421519449,1786.14379084967,0.791410215686274,45.0,2918.64990234375,3356850000.0,17.969999313354492,4.406123844306388,1.8817674296410922,2.942317201069492,3.8622242790183816,4.1503813720703375
2019-08-13,2.249559506895088,11396.08,17568.227075,255966.0,66017787.4629043,9985348008060.0,16.9752824809575,2236.43609022556,1.03599922556391,48.0,2882.699951171875,3328570000.0,21.09000015258789,1.898095565581255,4.406123844306388,1.8817674296410922,3.730712986298687,4.0723073328062425
2019-08-14,4.007891014962791,10892.71,33234.72968,337834.0,77930771.6667366,9985348008060.0,80.4517397927845,2361.44585987261,1.18956887261147,45.0,2926.320068359375,3857190000.0,17.520000457763672,1.3449007532564083,1.898095565581255,4.406123844306388,3.3088936282922994,3.9611679734296477
2019-08-15,3.7299031864097443,10050.37,54451.847499,534507.0,75448899.9576049,9985348008060.0,24.3890414669612,2368.40131578947,1.13971276973684,11.0,2840.60009765625,4325150000.0,22.100000381469727,2.249559506895088,1.3449007532564083,1.898095565581255,2.773324053988651,3.8522672863099294
2019-08-16,4.738457892545099,10293.93,38174.45112,373368.0,77930771.6667366,9985348008060.0,20.7043727783933,2265.24840764331,1.06614657961783,13.0,2847.60009765625,4041720000.0,21.18000030517578,4.007891014962791,2.249559506895088,1.3449007532564083,2.675807902244645,3.7381744566407593
2019-08-17,3.4756362697236787,10331.54,51758.142918,504740.0,72967028.2484731,9985348008060.0,36.2140498280111,2201.5306122449,1.0359847414966,31.0,2888.679931640625,3524080000.0,18.469999313354492,3.7299031864097443,4.007891014962791,2.249559506895088,2.788320185864681,3.6137905718883947
2019-08-18,2.39836222529619,10216.02,29000.581201,332795.0,63535915.7537725,9985348008060.0,18.5930185764865,2252.0,0.9967702890625,20.0,2888.679931640625,3524080000.0,18.469999313354492,4.738457892545099,3.7299031864097443,4.007891014962791,3.196418823422396,3.5774820671851537
2019-08-19,3.243713132578225,10306.78,24085.395172,265705.0,62740159.3489764,10016798869144.1,17.3049294411841,2193.37301587302,0.949509166666667,14.0,2888.679931640625,3524080000.0,18.469999313354492,3.4756362697236787,4.738457892545099,3.7299031864097443,3.063492027053438,3.3426710878681853
2019-08-20,2.462978047325476,10915.54,37243.319217,337022.0,82514504.7903757,10183488432890.0,20.8938323865671,2027.44171779141,0.938905619631902,30.0,2923.64990234375,3221050000.0,16.8799991607666,2.39836222529619,3.4756362697236787,4.738457892545099,3.134958692727,3.270650986990994
2019-08-21,4.35961211789546,10760.51,32298.921679,305065.0,77452265.232684,10183488432890.0,24.8355380679256,2178.45751633987,1.0772132745098,39.0,2900.510009765625,3067710000.0,17.5,3.243713132578225,2.39836222529619,3.4756362697236787,3.4062176040586882,3.2703735751787217
2019-08-22,3.6149868067150868,10142.57,47355.719282,458814.0,68846457.984608,10183488432890.0,32.3899248030473,2270.64705882353,1.18841401470588,11.0,2924.429931640625,3016540000.0,15.800000190734863,2.462978047325476,3.243713132578225,2.39836222529619,3.436705966977315,3.2407838555488544
2019-08-23,2.3341693051491306,10099.88,34059.642738,401148.0,71377577.7634539,10183488432890.0,44.7557622967746,2286.90070921986,1.24188624113475,5.0,2922.949951171875,2893660000.0,16.68000030517578,4.35961211789546,2.462978047325476,3.243713132578225,3.4869518388248393,3.249922101515471
2019-08-24,2.7707082046080336,10389.55,27550.336173,326866.0,77452265.232684,10183488432890.0,16.8202688870834,2223.66013071895,1.09552086928105,33.0,2847.110107421875,3942520000.0,19.8700008392334,3.6149868067150868,4.35961211789546,2.462978047325476,3.470535213154174,3.2680935954544306
2019-08-25,3.230427309215015,10134.35,27692.456844,313227.0,80995832.9230682,10183488432890.0,13.5548501240521,1903.00625,0.97712728125,39.0,2847.110107421875,3942520000.0,19.8700008392334,2.3341693051491306,3.6149868067150868,4.35961211789546,3.127065414954749,3.1951281616650027
2019-08-26,3.8166693602129014,10142.69,26271.657398,289956.0,78464713.1442223,10183488432890.0,9.20165534223505,1864.09032258065,0.804201896774194,33.0,2847.110107421875,3942520000.0,19.8700008392334,2.7707082046080336,2.3341693051491306,3.6149868067150868,3.0263614056525148,3.1490234512561233
2019-08-27,1.4462799204343346,10372.25,41687.511599,405316.0,69352681.9403772,10183488432890.0,43.5422972127893,2322.76642335766,1.17041413868613,41.0,2878.3798828125,2859790000.0,19.31999969482422,3.230427309215015,2.7707082046080336,2.3341693051491306,3.145227846212347,3.1879775016496836
2019-08-28,5.016221270046891,10185.05,28402.775383,292888.0,68340234.0288388,10183488432890.0,29.7763470279035,2414.6962962963,1.15973937777778,30.0,2869.159912109375,3537490000.0,20.309999465942383,3.8166693602129014,3.230427309215015,2.7707082046080336,3.2270787358744433,3.104092522984444
2019-08-29,2.579217659374652,9721.0,42110.555375,381293.0,76439817.3211456,10183488432890.0,30.6289844175681,2259.60264900662,1.03846713907285,32.0,2887.93994140625,3102480000.0,19.350000381469727,1.4462799204343346,3.8166693602129014,3.230427309215015,3.0818361463185657,3.0940658772384144
2019-08-30,1.6470779548693586,9498.44,35532.69491,343887.0,83526952.7019141,10183488432890.0,15.375625484894,2101.41818181818,0.995517387878788,20.0,2924.580078125,3177150000.0,17.8799991607666,5.016221270046891,1.4462799204343346,3.8166693602129014,3.1756374537687706,3.185692424096859
2019-08-31,2.112530402450683,9584.54,26834.318104,259270.0,80995832.9230682,10183488432890.0,19.0494036023392,2182.5,1.0054113,24.0,2926.4599609375,3009910000.0,18.979999542236328,2.579217659374652,5.016221270046891,1.4462799204343346,3.0276704327201367,3.2031591294063153
2019-09-01,1.4331113753265337,9587.47,17130.290074,199188.0,84033176.6576833,10183488432890.0,8.99777016050343,2061.4156626506,0.874326186746988,20.0,2926.4599609375,3009910000.0,18.979999542236328,1.6470779548693586,2.579217659374652,5.016221270046891,2.929514525537312,3.1621723230490373
2019-09-02,2.858005565509256,9724.98,19545.404843,191324.0,75959123.8204752,10685572378039.5,11.5723787677286,1996.27972027972,0.885620447552447,24.0,2926.4599609375,3009910000.0,18.979999542236328,2.112530402450683,1.6470779548693586,2.579217659374652,2.8354891252291194,3.1562946316910803
2019-09-03,2.502211828283462,10340.0,44740.248093,354155.0,79786349.9315495,10771996663680.0,29.1429433763589,2196.29530201342,1.0557643557047,28.0,2926.4599609375,3009910000.0,18.979999542236328,1.4331113753265337,2.112530402450683,1.6470779548693586,2.5787297061021937,3.1121268400602236
2019-09-04,2.8999840925628715,10615.28,47998.376781,416076.0,87818532.8105646,10771996663680.0,21.9982133643921,2259.94512195122,1.08815423170732,41.0,2906.27001953125,3427830000.0,19.65999984741211,2.858005565509256,1.4331113753265337,2.112530402450683,2.441777735430244,3.1268028266503323
2019-09-05,1.5614286475780572,10567.02,43943.889026,383457.0,72825124.7697365,10771996663680.0,48.4303444262459,2387.80147058824,1.17799423529412,43.0,2937.780029296875,3167900000.0,17.329999923706055,2.502211828283462,2.858005565509256,1.4331113753265337,2.592625150837262,3.1162540671058108
2019-09-06,4.395446652949066,10564.49,33970.960639,309846.0,88354011.6691656,10771996663680.0,19.3352024833411,2135.81818181818,1.02078255757576,41.0,2976.0,3902600000.0,16.270000457763672,2.8999840925628715,2.502211828283462,2.858005565509256,2.290305554053831,3.069665661547868
2019-09-07,1.3547828961657955,10298.73,58799.640959,455334.0,84605659.6589586,10771996663680.0,20.3752132023172,2313.48734177215,1.09143871518987,43.0,2978.7099609375,3209340000.0,15.0,1.5614286475780572,2.8999840925628715,2.502211828283462,2.1449071237971746,2.9217617322331164
2019-09-08,1.639561406147875,10455.88,27637.877392,272011.0,80321828.7901505,10771996663680.0,11.910011933659,2096.19333333333,0.92503502,39.0,2978.7099609375,3209340000.0,15.0,4.395446652949066,1.5614286475780572,2.8999840925628715,2.537531223522847,2.9119264847590576
